Accounts,Usage Nov,Usage Dec,Usage Jan,Decline Yes / No,ARR,#tickets,Renewal,Ticket Stress level,Call?
Veripark Software for Information Technology,4,4,3,NO,2499.352096,0,NO,Low,Monitor
Kafaat Business Solutions,2,1.5,2,NO,2079.682777,0,NO,Low,Monitor
LCC Saudi Arabia Telecommunications Services Ltd,Null,Null,Null,Needs Review,0,0,NO,Low,Data Validation Required
Sadana Real Estate Co,4,4,1,YES,1188.085443,0,NO,Low,Usage Recovery Intervention
Future Fashion Trading Company Limited,Null,Null,Null,Needs Review,1777.595522,0,NO,Low,Data Validation Required
Eastern Retailing Readymade Fashion Company Limited,Null,0,0,#DIV/0!,1253.142186,0,NO,Low,#DIV/0!
Jassem Ibrahim M.J. Alshikar Est. (Hi-Force),#N/A,0,Null,Needs Review,0,0,NO,Low,Data Validation Required
TechMahindra USA,#N/A,#N/A,#N/A,Needs Review,0,0,NO,Low,Data Validation Required
Abdullah Al Othaim Investment Co,3,4,4,NO,12098.15461,0,YES,Low,Monitor
Transworld Trading Services for Contracting Est.,Null,3,3,NO,2499.618722,0,NO,Low,Monitor
Lutron,Null,2,1,YES,4999.237444,0,NO,Low,Usage Recovery Intervention
Dnata,3,3,3,NO,2499.618722,0,NO,Low,Monitor
Pico Play Productions Arabia Ltd Company,2,1,0,YES,2499.618722,0,NO,Low,Usage Recovery Intervention
Dr Tooth,#N/A,2.86,3.86,NO,7248.76098,0,NO,Low,Monitor

Albaha Development Co,#N/A,#N/A,#N/A,Needs Review,2999.542466,0,NO,Low,Data Validation Required
